TITLE,Genre,Released,Style,The First line,생성일
THE SPACE BETWEEN US,Sci-Fi,2016,프레젠테이션/강의형,I want to go Mars.,2021년 7월 31일 오후 8:15
"JUPITER ASCENDING ",Sci-Fi,2015,자기소개형,Techically Speaking I'm an alien.,2021년 7월 31일 오후 10:11
ROGUE ONE : A STAR WARS STORY,"Space Opera, War",2016,엄빠형,"Mama! ",2021년 8월 7일 오후 11:59
THE MUMMY,"Fantasy, History",1999,배경설명형,"Thebes, the City of the living, crown jewel of pharao Seti the first.",2021년 8월 8일 오전 2:41
STAR TREK,"Sci-Fi, Space Opera",2009,무전통신형,"USS Kelvin, Go for Starfleet Base.",2021년 8월 16일 오후 4:04
THE WHITE TIGER,Dramas,2021,일상대화형,"Oh Whoa, Should I switch to tequila now?",2021년 8월 16일 오후 9:41
ARMY OF DEAD,"Horror, Post Apocalypse",2021,무전통신형,"Gatekeeper, this is mother ship, the Four Horsemen are on the gallop. ",2021년 8월 21일 오후 2:28
STAR TREK BEYOND,"Sci-Fi, Space Opera",2016,자기소개형,My name is Captain James Tiberius Kirk of the United Federation of Planets.,2021년 8월 24일 오후 6:46
WANTED,Action,2008,독백형,It's my anorexic boss' birthday.,2021년 8월 26일 오후 9:17
THE LOST WORLD: JURASSIC PARK,"Fantasy, Sci-Fi",1998,일상대화형,"Beautiful day. Sweetie, where are you going?",2021년 8월 28일 오후 11:17
JURASSIC WORLD,"Fantasy, Sci-Fi",2015,명령형,"Boys, let's do this!",2021년 8월 28일 오후 11:19
DRACULA UNTOLD,"Fantasy, History",2014,배경설명형,"In the year of our Lord 1442, the Turkish sultan enslaved 1,000 Transylvanian boys to fill the ranks of his army.",2021년 9월 2일 오후 6:36
ASSASSIN'S CREED,"Based on games, Sci-Fi",2016,배경설명형,La inquisición finalmente ha entregado España a los Templos.,2021년 9월 4일 오후 4:39
THE FOREIGNER,"Action, Adventure",2017,일상대화형,this is the dress do you like it?,2021년 9월 4일 오후 10:33
THE NET,Thriller,1995,전화통화형,Well thanks for the information I appreciate it.,2021년 9월 7일 오후 3:17
SILENCE,"Based on books, History, Religion",2016,독백형,Prays to you to our Jesus Christ.,2021년 9월 19일 오후 6:59
THE MUMMY RETURN,"Adventure, Fantasy, History",2001,배경설명형,"5 thousand years ago, a fierce warrior known as the Scorpion king led a great army on a campaign to conquer the known world.",2021년 9월 22일 오후 8:54
명량,"History, War",2014,일상대화형,"자, 그래, 언제 합류하시렵니까?",2021년 9월 25일 오후 4:32
SAUSAGE PARTY,"Animation, Comedy",2016,일상대화형,"Shit Carl, Carl, we slept again, it's about to start!",2021년 9월 25일 오후 11:01
Windy city heat WINDY CITY HEAT,Comedy,2003,자기소개형,"My name is Stone, Stone Perry. ",2021년 9월 26일 오후 8:24
INGLORIOUS BASTERDS,"Action, Black Comedy, War",2009,엄빠형,"Papa! ",2021년 10월 2일 오후 10:52
아빠는 딸,"Comedy, Dramas, Family, Fantasy",2017,일상대화형,어 잡았어? 응. 야 이쁘다.,2021년 10월 14일 오후 7:09
A BEAUTIFUL MIND,"Based on real life, History",2001,프레젠테이션/강의형,"Mathematicians won the war. ",2021년 10월 14일 오후 7:09
THE HUNT,"Action, Comedy, Thriller",2020,일상대화형,"Excuse me sir. Sir, sir? Can I give you snack?",2021년 10월 16일 오후 11:43
좋은놈 나쁜놈 이상한놈,"Action, Adventure, Fantasy, History",2008,일상대화형,이 사람! 정신 놓지 말라니까.,2021년 10월 16일 오후 11:43
사바하,"Mystery, Occultism",2019,자기소개형,내가 태어나는 날에도 염소들이 미친 듯이 울어댔다.,2021년 11월 14일 오후 1:26
MAZE RUNNER: DEATH CURE,"Action, Fantasy, Post Apocalypse",2018,일상대화형,They're  late.,2021년 11월 15일 오후 9:31
BLACK WIDOW,"Hero, Marvel",2021,일상대화형,We are both upside down.,2021년 11월 16일 오후 7:25
AVENGERS: AGE OF ULTRON,"Action, Fantasy, Marvel",2015,무전통신형,Report to your stations immediately. This is not a drill.  We are under attack!,2021년 11월 24일 오후 8:02
WONDERWOMAN,"Action, DC, Fantasy",2017,자기소개형,I used to want to save the world.,2021년 11월 28일 오후 12:54
EDWARD SCISSORHANDS,"Comedy, Fantasy, Mystery, Thriller",1990,일상대화형,"Snuggle in, sweetie. It’s cold out there.",2021년 12월 18일 오전 11:19
THE AMAZING SPIDERMAN,"Action, Hero, Marvel",2012,독백형,"5, 4, 3, 2, 1. Ready or not, here I come.",2021년 12월 21일 오후 8:47
THE AMAZING SPIDERMAN 2,"Action, Hero, Marvel",2014,자기소개형,People will say I am a monster for what I've done.,2021년 12월 23일 오후 6:18
花樣年華,"Dramas, Hongkong, Romance",2000,배경설명형,"那是一種難堪的相對. 她一直羞低著頭, 給他一個接近的機會. 他沒有勇氣接近. 她掉轉身, 走了.",2021년 12월 28일 오후 2:30
重慶森林,"Dramas, Hongkong, Romance",1994,배경설명형,每天都會經過很多人，你可能對他們一無所知。,2021년 12월 28일 오후 4:24
DON’T LOOK UP,"Apocalypse, Sci-Fi",2021,일상대화형,This is nut! This is crazy!,2021년 12월 31일 오후 10:33
모가디슈,"Action, Based on books, Based on real life, Military",2021,일상대화형,"Picture, photo zone, wait for me. 줄, 줄 세워 줄.  우리가 잘 나와야 돼.",2022년 1월 1일 오후 12:31
PREDETOR,"Action, Adventure, Horror",1987,일상대화형,"You’re looking good, Dutch.",2022년 1월 1일 오후 6:17
甜蜜蜜,"Dramas, Hongkong, Romance",1996,일상대화형,"同志! 快起来, 到站啦.",2022년 1월 19일 오후 6:43
VENOM,"Action, Fantasy, Marvel",2018,무전통신형,"Life foundation control, this is LF1, the specimens are secured, and we're heading home.",2022년 1월 20일 오후 9:07
HER,"Fantasy, Romance, Sci-Fi",2013,편지형,To my Chris.,2022년 1월 23일 오전 9:10
"TIK, TIK... BOOM!","Based on real life, Dramas, Netflix original",2021,자기소개형,"Hi, I’m John, I’m a musical theater writter.",2022년 1월 26일 오후 6:51
DUNKIRK,"Based on real life, History, War",2017,자기소개형,"I’m English, I’m English.",2022년 1월 26일 오후 8:46
INTERSTELLAR,"Adventure, Sci-Fi",2014,배경설명형,"Well, my dad was a farmer.",2022년 1월 29일 오후 12:35
2001 A SPACE ODYSEY,"Adventure, Sci-Fi",1968,제1장형,The dawn of men,2022년 1월 29일 오후 3:47
THE FIFTH ELEMENT,"Action, Sci-Fi",1997,명령형,Aziz! Light!,2022년 2월 3일 오후 7:17
GRAVITY,Sci-Fi,2013,무전통신형,Please verify that the P1 ATA removal... on replacement cap part 1 and 2 are complete.,2022년 2월 6일 오후 4:02
HACKSAW RIDGE,"Based on real life, History, War",2016,독백형,"Have you not heard? The Lord is the everlasting God, the creator of the ends of the earth, he will not grow tired or weary, and his understanding no one can fathom.",2022년 2월 6일 오후 5:04
THE TIME TRAVELER’S WHIFE,"Based on books, Dramas, Fantasy, Romance",2009,일상대화형,I can’t sing.,2022년 2월 6일 오후 7:38
PORTRAIT DE LA JEUNE FILLE EN FEU,"French, History, LGBTQ, Romance",2019,일상대화형,contour d'abord. Et silhouette.,2022년 2월 12일 오후 4:27
MONTY PYTHON AND THE HOLY GRAIL,Comedy,1975,자기소개형,"Halt! Who goes there? It is I, Arthur, Son of Uther Pendragon, from the Castle of Camelot, king of the Britons, defeater of the Saxons, sovereign of all England.",2022년 2월 21일 오후 12:35
BAD TRIP,"Black Comedy, Comedy",2021,일상대화형,"Whoo! Damn! Hey what’s up man? ",2022년 2월 21일 오후 12:39
WHITE CHICKS,Comedy,2004,일상대화형,"Where’s Manny? Tell him, the ice cream man is here. ",2022년 2월 21일 오후 6:40
VAN HELSING,"Fantasy, Vampire",2004,일상대화형,It’s alive. It’s alive!,2022년 3월 2일 오후 8:51
친절한 금자씨,Thriller,2005,일상대화형,살아 있는 천사라지요?,2022년 3월 7일 오후 4:14
THE GREAT GATSBY,"Based on books, Romance",2013,독백형,"In my younger and vulnerable years, my father gave me some advice.",2022년 3월 7일 오후 9:00
SEVEN YEARS IN TIBET,"Based on books, Based on real life, History",1997,일상대화형,Do you want to go home? Do you want to turn around?,2022년 3월 13일 오후 4:38
LE FABULEUX DESTIN D’AMELIE POULAIN,Romance,2001,배경설명형,"Le trois septembre 1973 a 18 heures 28 minutes et 32 secondes une mouche bleue de la famille des calliphorides capable de produire 14,670 battements d’aile a la minute, se posait a St vincent a Montmartre.",2022년 3월 13일 오후 4:45
말모이,"Dramas, History",2019,일상대화형,"기미년 만세운동 때, 나도 급하게 조선을 떠나느라 이것 밖에는 챙기지 못했네. 자네가 찾고 있던 주시경 선생의 원고일세.",2022년 3월 13일 오후 7:25
LOVING VINCENT,"Based on real life, Dramas, History",2017,일상대화형,"He's always out for trouble, that one.",2022년 3월 16일 오후 10:50
아가씨,"Feminism, History, LGBTQ",2016,명령형,こいつら、腐れないよ！,2022년 3월 20일 오후 9:15
MEMOIRS OF A GEISHA,"Dramas, History, Romance",2005,독백형,A story like mine should never be told.,2022년 3월 28일 오전 10:15
BABY DRIVER,"Action, Adventure, Comedy",2017,일상대화형,"Next customer, next customer. Can I take your order?",2022년 3월 28일 오후 10:20
12 YEARS A SLAVE,"Based on books, Based on real life, History",2013,명령형,"All right now, y’all fresh niggers.",2022년 4월 2일 오전 7:09
MAN IN BLACK 3,"Comedy, Sci-Fi",2012,일상대화형,"Well well, Boris the Animal has a visitor.",2022년 4월 2일 오후 10:09
NOBODY,Action,2021,일상대화형,Who the hell are you?,2022년 4월 12일 오전 10:49
AQUAMAN,"DC, Fantasy",2018,독백형,"Jules Verne once wrote, ""Put two ships in the open sea ""without wind or tide, they will come together.""",2022년 4월 13일 오전 9:55
KNIVES OUT,"Comedy, Mystery",2019,일상대화형,"Morning, Mr. Thrombey. Mr. Thrombey, are you up there? I'm coming in.",2022년 4월 17일 오후 7:12
엽기적인 그녀,"Comedy, Dramas",2001,독백형,"2년 전 오늘, 그녀와 전 이 자리에 타임캡슐을 묻었습니다.",2022년 5월 5일 오후 10:43
ISLE OF DOGS,"Adventure, Animation, Comedy",2018,배경설명형,"Ten centuries ago, before the Age of Obedience, free dogs roamed at liberty, marking their territory.",2022년 5월 11일 오전 11:43
RING,Horror,1998,일상대화형,"초등학생 남자애네 가족이 이즈네 펜션에서 묵었었대. ",2022년 5월 17일 오후 10:14
2046,Romance,2004,배경설명형,"2046では広域ネットワークが地球を回っている。 ",2022년 5월 17일 오후 10:17
THE TIME MACHINE,"Adventure, Fantasy, History, Horror, Sci-Fi",2002,프레젠테이션/강의형,"It’s something to do with the third differential coefficient. ",2022년 5월 20일 오전 8:58
WATCHMEN,"Action, DC, Thriller",2009,독백형,Wrong as usual. The United States’ lack of action in Eastern European proves that the Soviet Union’s aggression at the Afgan border will not be opposed publicly by the United States.,2022년 5월 23일 오후 11:22
남한산성,"Based on books, Based on real life, History, War",2017,명령형,"겁을 주거라. ",2022년 7월 10일 오전 12:57
THE ISLAND,"Sci-Fi, Thriller",2005,방송자료형,You are special.,2022년 7월 11일 오후 11:04
PERFUME: THE STORY OF A MURDERER,"Based on books, Dramas, Thriller",2006,일상대화형,"Quick, we can not hold him back much longer. ",2022년 7월 13일 오후 10:30
ZOOTOPIA,"Action, Animation, Diversity",2016,배경설명형,"Fear. Treachery. Bloodlust. Thousands of years ago, these were the forces that ruled our world.",2022년 7월 17일 오후 4:16
If you want to know what’s going on 🥸,깊이없는 영화광,"July 31, 2021",,소개글이랍니다.,2022년 7월 19일 오전 10:51
GET OUT,"Horror, Racism, Thriller",2017,전화통화형,The thing I’ve been asking myself is what kind of sick individual names a street Edgewood Way and he put it half a mile away from Edgewood Lane?,2022년 7월 19일 오후 11:15
SPORTLIGHT,"Based on real life, Dramas",2015,일상대화형,"How’s that going? Oh, her mother and uncle are pissed off.",2022년 7월 20일 오후 10:24
EQUILIBRIUM,"Action, Dystopia, Sci-Fi",2003,배경설명형,"In the first years of the 21st century, the third world war broke out.",2022년 7월 26일 오전 10:03
SUNSHINE,"Horror, Sci-Fi",2007,배경설명형,"Our sun is dying, mankind faces extinction.",2022년 7월 31일 오후 2:38
MAD MAX - FURY ROAD,"Action, Sci-Fi, War",2015,자기소개형,My name is Max.,2022년 8월 1일 오전 8:06
TRAINING DAY,Crime,2001,일상대화형,It’s time.,2022년 8월 2일 오후 10:39
DEJAVU,"Action, Crime, Sci-Fi, Thriller",2006,일상대화형,Can’t believe it. They’re right on time. Let’s get these boys to their party.,2022년 8월 5일 오전 11:45
CLOUD ATLAS,"Action, Adventure, Comedy, Dramas, Fantasy, Sci-Fi, Thriller",2012,독백형,"Lornsome night. An' babbits bawlin', wind bitin' the bone.",2022년 8월 6일 오후 2:57
AVATAR,"Action, Adventure, Fantasy, Sci-Fi",2009,독백형,"When I was lying there in the VA hospital, with a big hole blown through the middle of my life, I started having these dreams of flying. ",2022년 8월 7일 오후 9:36
SHUTTER,Horror,2004,일상대화형,"ไชโย, ไชโย!",2022년 8월 14일 오전 1:50
FINDING VIVIAN MAIER,"Based on real life, Documentary, Mystery",2015,인터뷰형,Paradoxical. Bold. Yeah.,2022년 8월 19일 오후 12:37
범죄와의 전쟁,Crime,2012,방송자료형,노태우 대통령은 오늘 우리 공동체를 파괴하는 범죄와 폭력에 대한 전쟁을 선포하고 헌법이 부여한 대통령의 모든 권한을 동원해서 이를 소탕해 나가겠다고 말했습니다.,2022년 8월 21일 오후 3:35
13 LIVES,"Based on real life, Disaster, Prime Video Original",2022,제1장형,"Day 1 SATURDAY JUNE 23, 2018",2022년 8월 26일 오후 7:25
LAWRENCE OF ARABIA,"Action, Adventure, History, Religion, War",1962,일상대화형,He was the most extraordinary man I ever knew.,2022년 9월 2일 오후 7:20
오마주,"Dramas, Independent film",2021,일상대화형,"몸에 힘을 빼시고요, 머리를 푹 숙이셔야 해요, 최대한. ",2022년 9월 8일 오후 2:30
하이힐,"Action, LGBTQ, Noir",2014,독백형,"내가 윤지욱이를 처음 본 게, 홀딱 벗고 있을 때였어. ",2022년 9월 17일 오후 6:00
THOR: LOVE AND THUNDER,"Action, Marvel, Space Opera",2022,기도형,"Oh, great and mighty Rafu, we pray you for water and sustenance. ",2022년 9월 18일 오전 1:37
AD ASTRA,"Adventure, Sci-Fi",2019,독백형,"I’m calm, steady. I slept well. 8.2 hours. Not Bad dreams.",2022년 9월 21일 오후 7:07
BEING JOHN MALKOVICH,"Adventure, Dramas, Fantasy",1999,일상대화형,"Craig, Honey. It’s time for bed. ",2022년 9월 25일 오후 8:07
SPENCER,"Based on real life, Dramas",2021,무전통신형,"Hello, Three? All clear. Bring it in.",2022년 9월 26일 오후 8:13
INSIDE THE MIND OF A CAT,"Documentary, Netflix original",2022,나레이션형,"It’s hard to know what’s going on inside the mind of a cat. ",2022년 9월 28일 오후 7:39
MIRACOL,"Crime, Dramas, Thriller",2021,일상대화형,E târziu.,2022년 10월 1일 오후 6:33
ELIZABETH,"Dramas, Feminism, History",1998,자막설명형,"England 1554, Henry VIII is dead.",2022년 10월 10일 오후 5:33
정직한 후보,Comedy,2020,나레이션형,"인생의 나침반과 같은 이름, 할, 머, 니.",2022년 10월 16일 오후 6:10
VIVARIUM,"Horror, Mystery",2019,프레젠테이션/강의형,Today we are going to pretend to be trees. We’re gonna be tall wonderful green trees with really long branches.,2022년 10월 23일 오후 7:08
"GIRL, INTERRUPTED","Based on books, Dramas, Thriller",1999,독백형,Have you ever confused a dream with life?,2022년 10월 23일 오후 9:04
AYLA,"Based on real life, Dramas, History, War",2017,일상대화형,"우리딸, 아빠 선물. 타 보자.",2022년 10월 28일 오후 11:28
THE SHAPE OF WATER,"Fantasy, Romance",2017,독백형,"If I spoke about it, if I did, what would I tell you? ",2022년 10월 28일 오후 11:47
THE LORD OF THE RINGS: THE FELLOWSHIP OF THE RING,"Based on books, Fantasy",2001,배경설명형,"The world is changed. I feel it in the water. I feel it in the earth. I smell it in the air. ",2022년 10월 29일 오후 7:42
THE LORD OF THE RINGS: THE TWO TOWERS,Fantasy,2002,명령형,You can not passed!,2022년 10월 29일 오후 11:59
ALL THE MONEY IN THE WORLD,"Based on real life, Crime, History",2017,일상대화형,Ciao bambino.,2022년 11월 11일 오후 5:43
THE SCHOOL OF GOOD AND EVIL,"Based on books, Fantasy",2022,자막설명형,"Many years ago, two powerful brothers created a school to keep the balance between Good and Evil in the fairy tale world.",2022년 11월 14일 오후 7:46
MEMENTO,"Based on books, Mystery, Thriller",2000,독백형,So where are you? You're in some motel room.,2022년 11월 18일 오전 12:09
DEATH AT A FUNERAL,Comedy,2010,일상대화형,Uh… would you like to see… before? You know.,2022년 11월 27일 오후 9:11
SLUMBERLAND,"Action, Fantasy",2022,나레이션형,"People think dreams are an escape. ",2022년 12월 1일 오후 7:26
THE DARK KNIGHT,"Crime, DC, Hero",2008,일상대화형,"Three of a kind. Let’s do this. ",2022년 12월 1일 오후 10:25
THE 40-YEAR-OLD VIRGIN,Comedy,2005,일상대화형,"Hey Andy! What’s up dude? ",2022년 12월 2일 오후 10:16
MORBIUS,"Action, Fantasy, Marvel, Sci-Fi",2022,일상대화형,We shouldn’t be here when it gets dark.,2022년 12월 5일 오후 10:31
GUILLERMO DEL TORO’S PINOCCHIO,"Animation, Based on books, Fantasy, Musical, Netflix original",2022,나레이션형,"By the time Master Geppetto made Pinocchio, he had already lost a son.",2022년 12월 19일 오후 9:21
"BELFAST ","Dramas, History",2021,일상대화형,Hello there. How are you Franky?,2022년 12월 23일 오후 1:39
THUNDER FORCE,"Action, Comedy, Hero",2021,배경설명형,"In March of 1983, a massive pulse of interstellar cosmic rays struck the earth and its population.",2022년 12월 24일 오후 6:19
HOW TO BE SINGLE,"Comedy, Dramas",2016,나레이션형,There is a right way to be single.,2022년 12월 25일 오후 9:45
THE ROAD TO EL DORADO,"Adventure, Animation, Fantasy, History, Musical",2000,,,2022년 12월 31일 오후 1:36
審死官續集 - 濟公,"Action, Comedy, Fantasy, Hongkong",1993,일상대화형,参见玉帝!,2023년 1월 1일 오후 9:36
NEW YEAR’S EVE,"Comedy, Romance",2011,나레이션형,Some people swear there’s no beauty left in the world. No magic.,2023년 1월 1일 오후 9:47
설국열차 SNOWPIERCER,"Action, Adventure, Based on books, Dystopia, Sci-Fi",2013,방송자료형,"Good day. On this day, July 1st, 2014, at this hour, 0600, we are at the very first airport in the world… The topic of so much controversy over the past seven years, has continued development. ",2023년 1월 1일 오후 9:57
"JUSTICE LEAGUE ","Action, DC, Hero",2019,인터뷰형,"There he is! Shh! Sorry. Superman! Can we ask you some questions? ",2023년 1월 21일 오후 4:34
THE MEG,"Horror, Thriller",2018,무전통신형,Look at the sonar. Let me know what you find.,2023년 1월 21일 오후 4:43
CHILDREN OF MEN,"Adventure, Post Apocalypse, Sci-Fi",2006,방송자료형,"Day 1,000 of the siege of Seattle. The Muslim community demands an end to the army’s occupation of mosques. The homeland Security bill is ratified.",2023년 1월 23일 오후 10:28
RRR,"Action, Dramas, History",2022,일상대화형,"A good day of hunting, my dear?",2023년 1월 28일 오후 9:01
정이,"Action, Dramas, Sci-Fi",2023,자막설명형,가까운 미래.. 급격한 기후변화로 인한 해수면의 상승으로 인류는 우주로의 이주를 결정한다.,2023년 1월 31일 오후 10:09
ENDER’S GAME,"Action, Adventure, Sci-Fi",2013,자막설명형,"“When I understand my enemy well enough to defeat him, then in that moment, I also love him.” A. E. Wiggin",2023년 2월 5일 오전 1:23
INTOUCHABLES,"Based on real life, Comedy, Dramas, French",2011,독백형,Dégage-toi!,2023년 2월 6일 오후 9:36
JURASSIC PARK,"Adventure, Fantasy, Thriller",1993,자막설명형,"A legend tries to place us, but to us it's still the middle of nowhere.",2023년 2월 26일 오후 9:58
HARRY POTTER AND THE PHILOSOPHER’S STONE,"Based on books, Fantasy",2001,일상대화형,"I should have known you’d be here, Professor McGonagall. ",2023년 2월 28일 오후 11:24
WALT BEFORE MICKEY,"Based on books, Based on real life, Dramas, History",2015,독백형,"When I was just a young boy in Marceline, Missouri, I became interested in drawing.",2023년 3월 26일 오전 8:29
ANNIHILATION,"Adventure, Horror",2018,취조형,What did you eat? You had rations for 2 weeks. You were inside for nearly 4 months.,2023년 3월 29일 오후 12:23
JOJO RABBIT,"Black Comedy, Dramas, History, War",2019,자기소개형,"Jojo Betzler. Ten years old. ",2023년 4월 30일 오후 11:29
FOREST GUMP,"Dramas, History, Romance",1994,자기소개형,"Hello. My name is Forest, Forest Gump.",2023년 6월 4일 오전 11:53
THREE THOUSAND YEARS OF LONGING,"Adventure, Fantasy",2022,자기소개형,My name is Alitheia. My story is true.,2023년 6월 6일 오전 11:14
ALADDIN,"Action, Adventure, Disney",2019,일상대화형,Hey look! Over there!,2023년 7월 30일 오후 12:32
EVERYTHING EVERYONE ALL AT ONCE,"Action, Asian, Dramas, Fantasy",2022,일상대화형,你不要玩了 沒時間了 哎喲.,2023년 7월 30일 오후 3:06
冷静と情熱のあいだ,"Based on books, Romance",2001,독백형,Duomo in florence is a dare for lovers.,2023년 7월 30일 오후 6:31
MAN UP,"Comedy, Romance",2015,독백형,"Come on! ",2023년 8월 9일 오후 9:21
화녀,Thriller,1971,프레젠테이션/강의형,끔찍한 살인 사건입니다. 식모와 주인이 살해됐습니다.,2023년 8월 12일 오후 10:37
,,,,"My dear Frodo. ",2023년 9월 2일 오전 10:38
